target,,BRAF,BRAF,CDH1,CDH1,KRAS,KRAS,MSI,MSI,PIK3CA,PIK3CA,SMAD4,SMAD4,TP53,TP53,subtype,subtype
stats,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,feature_extractor,,,,,,,,,,,,,,,,
AttentionMIL,bt,0.2789165413341237,0.09648413609894663,0.040381225795745324,0.014882863199776924,0.07306009318911895,0.056745877966315056,0.3328428133964224,0.07357947652488679,0.13111878172683603,0.023538169537858984,0.14919591013908057,0.08386373912111222,0.023166071567535647,0.0236038282930085,0.11309125185013334,0.040530543273905546
AttentionMIL,ctranspath,0.05870376586532293,0.036684954274676156,0.02107795164108209,0.029036015623138883,0.06129207398974858,0.030044293348442296,0.07173170890808403,0.05684774833476969,0.036661632221223234,0.013537974193930508,0.06380689804077183,0.025953116300247877,0.028048228416442954,0.023850667756195303,0.0013496255874632767,0.003716554250240165
AttentionMIL,dino_p16,0.022134647365570494,0.03756075842865107,0.009998592586517484,0.011960856535090183,0.06504584338748366,0.0391801085597368,0.010466252231597993,0.01627333556587375,0.016804511707305417,0.015373620999550579,0.04875314895629652,0.0349429338750613,0.042863046321866945,0.026436322607011547,0.044301042556761004,0.03204392085140508
AttentionMIL,owkin,0.09381016254044029,0.045301516730983794,0.04460740968704292,0.013954707460114728,0.05018100526415954,0.04749069148689985,0.0286246761322025,0.030363227440390814,0.052318759124754914,0.01870856998205463,0.0605178422164896,0.05560030019400983,0.08879457632064561,0.03586271776462611,0.10980601072311234,0.030453357458675626
AttentionMIL,resnet50,0.16867718457793865,0.07038511244682509,0.18355655357362036,0.036118668955799654,0.1217650511511528,0.03119366126521633,0.1807851776123011,0.028316348601698516,0.0133759214096065,0.011094903638139737,0.1464128321838393,0.0653446835786424,0.1679752937889113,0.05457944781508943,0.17176015138626308,0.03516431673244709
AttentionMIL,retccl,0.1410176014862021,0.03627427907004877,0.03489864751815624,0.020714361476925472,0.012230537200805398,0.022047967188671302,0.07018848505020078,0.0340054840215156,0.023461635272979568,0.0183107732784217,0.07266203824996927,0.03285008646091415,0.03234116950988578,0.03844931927605649,0.08524267435073868,0.03904103385351603
AttentionMIL,swav,0.07206814050293656,0.05283997051975878,0.026332136840821464,0.02724340959179931,0.11812393453204671,0.07623912362993533,0.12348067607879643,0.03951074617107182,0.05140450732039958,0.026157999064725133,0.10922119085311759,0.047081892628976926,0.03624128023147554,0.017693407670208577,0.054316637516020845,0.028419360442933733
AttentionMIL,swin,0.10777294396972562,0.07411906138165812,0.19640637323379584,0.0425989072987789,0.10547376658999312,0.03659716990937551,0.13747241344450847,0.026095172629396455,0.04509021775054795,0.029056716139273592,0.20004977647780908,0.028271389216558213,0.23722331443786443,0.028643890774734292,0.07968046426773116,0.030228426428608304
AttentionMIL,vit,0.12619048118209186,0.063988823141703,0.11530985519408832,0.03158239033756958,0.09113443877780136,0.03912074434731394,0.14271935071943967,0.03825782184997619,0.041604502361297035,0.04012580069301973,0.01763358776092498,0.0242474913118539,0.12218402544021514,0.01721813329223854,0.10532052278518855,0.03910335668772882
MeanAveragePooling,bt,0.18195476055144805,0.025563175678564653,0.021193340225218533,0.008256653599161336,0.019133353500823753,0.027381836633096002,0.10887736940383606,0.03783881663509035,0.05016539752197096,0.013825983048822446,0.004533647499084594,0.007525757847299691,0.03102597848129513,0.02721777638918994,0.056000196933745444,0.03460371835595345
MeanAveragePooling,ctranspath,0.07071806907653382,0.038852405355859966,0.005202498836517949,0.006430741210809138,0.08869043019340041,0.051139829337844896,0.028578993320465065,0.029545506040425017,0.005822569725036569,0.00811730466600186,0.04716489215850757,0.016054307909137696,0.018399712001800496,0.024851784359345253,0.0,0.0
MeanAveragePooling,dino_p16,0.0007712793350219732,0.0029114830576276868,0.016510310573578282,0.011785984372964605,0.0686078312687715,0.03559096864861587,0.04179918432235519,0.038490566972897995,0.034108275768281994,0.01801659415596745,0.03255387445449517,0.023661299984711715,0.04488680020523074,0.044281584781332914,0.0451134562492381,0.009027983753874567
MeanAveragePooling,owkin,0.08986702680587225,0.03343413237592168,0.009085979862212759,0.00921880416046414,0.0477369549565138,0.02832843076136184,0.016902050018311146,0.02583619071690978,0.07802257001114284,0.03697322744928246,0.06632996698379308,0.06180601677350806,0.11486440554809545,0.03165080257930777,0.1099293231964118,0.006369273555900445
MeanAveragePooling,resnet50,0.21293882846834195,0.04466340544991472,0.10971420089721713,0.044171680016862586,0.022324049740296198,0.024851772367322528,0.1473547186851589,0.04901626053600232,0.025822538730620945,0.012863595625154867,0.10788594981193587,0.09666504501263855,0.0747409190292376,0.025101053987076162,0.07547754049301154,0.0038950009888893125
MeanAveragePooling,retccl,0.13647605895996137,0.04872863487315736,0.016852977676391455,0.007492296315757197,0.047361600666505375,0.04559772609620249,0.04200495147705177,0.027873656122602314,0.026908273097991757,0.013156618930315776,0.03236409326553321,0.008457642387206863,0.04592498198700253,0.02910833327770292,0.012317001819610632,0.003627906125584339
MeanAveragePooling,swav,0.042859025001527364,0.03242771552111627,0.019251599712372815,0.011039192961038169,0.15201624658631527,0.016906828314018824,0.11813660526275785,0.03253892301760777,0.11370827614974716,0.011703864863335594,0.08638057609558236,0.0222032059007415,0.036048432743071485,0.0246492377934626,0.06172461509704459,0.0031197944242796574
MeanAveragePooling,swin,0.14678191661834308,0.03991031606833994,0.12410595695495934,0.02055547641478568,0.03880305316970788,0.03268785074652456,0.11278682613372766,0.034074783129147725,0.0089082545013423,0.008221190635888503,0.042104791603086875,0.010716124572932341,0.1130125249977097,0.03916393574052466,0.06469416618347254,0.008129511908197641
MeanAveragePooling,vit,0.1592153978347679,0.0560987877661855,0.08778387586593524,0.007742401172432079,0.09822498586700475,0.05492940791436649,0.17024566793441118,0.037622660978132175,0.028079707023619636,0.014526695539168178,0.023635446033477496,0.023536666106894585,0.06609896079253928,0.02828953058043601,0.029863333702086898,0.0036674107165719258
Transformer,bt,0.14851257171630045,0.037883183956972516,0.040734158397674976,0.026101723569393706,0.06631500421203818,0.049820888872222135,0.04838431364059589,0.02733033764586791,0.07406826407257197,0.04054876843223957,0.06421933543014333,0.05922706038869355,0.04595441244506638,0.03260228575502572,0.033717973667146295,0.02907697092418304
Transformer,ctranspath,0.0745099123954752,0.06696521357181864,0.05204198205566439,0.036445898852594305,0.05452823339141724,0.038153831495110306,0.03634727483749171,0.04035517019463295,0.05855397373977705,0.041355684507447366,0.07750206362533614,0.05536074820733123,0.01927092693710367,0.021109421288290832,0.010319443183898665,0.01566606635844071
Transformer,dino_p16,0.08853916492461783,0.0749852616822065,0.04844401919936991,0.03718337257094039,0.07434804139770294,0.033169137690615635,0.022509806213378534,0.0295812318820576,0.030639688079986717,0.033468896509435166,0.05802071463394344,0.05807965618214418,0.024602014049531083,0.01966054826555435,0.03522082133865406,0.027677283163997243
Transformer,owkin,0.080095010662083,0.04268504746058572,0.08516591632461123,0.03119985021330505,0.027989193779601917,0.04525422578227259,0.042725865898133396,0.020415166582893256,0.06923970372024328,0.035753031906377346,0.03290999304580922,0.03363360398822315,0.06980399511718974,0.03493229361792919,0.07631907029723788,0.02792677496754772
Transformer,resnet50,0.1597492989540254,0.052773041697246066,0.17717047774887107,0.09997217140660403,0.11098467407859124,0.04218371679266543,0.21186168676376413,0.05833725018319432,0.043496862953339994,0.05420024456072319,0.29527562033463095,0.10925688115413974,0.23091513536835453,0.040697269045464904,0.15817768140411909,0.05049972885253935
Transformer,retccl,0.14598596658706683,0.0765232094808542,0.05763878667449832,0.04159985354944453,0.07209578452743341,0.04724428705375753,0.07806538825989048,0.04453350758656012,0.06235397250000285,0.02576821844569068,0.06371333967971614,0.04429981489393379,0.04488821648025406,0.04002982859583854,0.05504165454483359,0.03152240638514413
Transformer,swav,0.07371202077865427,0.10421079010762638,0.01309281432724029,0.014526946167481493,0.1321558385912297,0.03965854500065387,0.0754419375038139,0.03967441194445083,0.08323967844787337,0.04506456431230612,0.11342866789627147,0.02379649313194184,0.03344036959076062,0.023074856441965608,0.06346765323257693,0.03268018978822338
Transformer,swin,0.2179274615287786,0.06970007013022357,0.1873932226905882,0.05092918433959403,0.12648768125213325,0.02899366688892553,0.18696456438064293,0.03961703351299115,0.08929683358016442,0.03769624418597459,0.08882400166320549,0.06192261916907489,0.20212723635101595,0.046505982976429334,0.10711559815978486,0.04198310382818116
Transformer,vit,0.21254181232452618,0.04360141572513737,0.12754170739746107,0.02678547509585833,0.1081693500105316,0.06308329336775009,0.2107814479446389,0.07119362307127303,0.08032542855087486,0.029666673029441044,0.08850771557617526,0.0373439551376414,0.17774454973601797,0.03093445657568021,0.1120317892608729,0.03436143938068178
