target,,BRAF,BRAF,CDH1,CDH1,KRAS,KRAS,MSI,MSI,PIK3CA,PIK3CA,SMAD4,SMAD4,TP53,TP53,lymph,lymph,subtype,subtype
stats,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,feature_extractor,,,,,,,,,,,,,,,,,,
AttentionMIL,bt,0.3459978715515001,0.13309243130710222,0.06452308626174554,0.03514460968308462,0.0327425811596665,0.036753907734890796,0.27713993549350274,0.13313636488119643,0.12980112934113525,0.03682975734207067,0.25107905840873296,0.03155061126973158,0.016759148979187486,0.014204285305161612,0.33724486323713465,0.1514505727763166,0.12945582866668845,0.03214338362488238
AttentionMIL,ctranspath,0.060359563026423924,0.027964190554507124,0.00649913282394418,0.012454665587129845,0.059225306303100786,0.03261262141696701,0.08398151159286565,0.030418102189722903,0.04411545896530177,0.03170907655450363,0.05917522287369003,0.025215957736484464,0.012438169860840785,0.012594663037323527,0.055251569474943925,0.06514639175253935,0.0,0.0
AttentionMIL,dino_p16,0.015279783401489513,0.024514424622518176,0.03425469131469573,0.034876572580925094,0.061027107030944557,0.04115928634861175,0.0012139892578125432,0.00476622879137969,0.0216297378540034,0.029525881258191153,0.020339017868042927,0.022027819837406568,0.027814129734039468,0.024693005962384537,0.06587120982528231,0.03688350682902371,0.07947163581847613,0.027152498876057335
AttentionMIL,owkin,0.06940212408065281,0.06086933363673789,0.08942317695618295,0.022735955745021217,0.06526885965545114,0.04201812261772608,0.06474282503128327,0.043848816436098136,0.09225828552245863,0.0332783125320867,0.1700543878078383,0.07578867888017703,0.09484557285309217,0.03096082556001185,0.06730265113235565,0.063870714296766,0.0924028754234308,0.021613510095330028
AttentionMIL,resnet50,0.22658298769949348,0.06826210328120871,0.08782407970428727,0.0389828602822029,0.11222829559524235,0.033883897549368776,0.2202469086646961,0.04251614555620436,0.013601135253906495,0.01929972180264462,0.2128753600120607,0.09466713516795632,0.10937980785370023,0.030759506756594338,0.17514111491561649,0.08232317130384424,0.1489872694015625,0.025604053963427017
AttentionMIL,retccl,0.14107765117644952,0.030903986939697356,0.0375671002387986,0.01697028710793118,0.028707287103729627,0.024361805971292352,0.0815123295783987,0.03455785452198754,0.04925827884673867,0.030994139276756254,0.05664513683318894,0.025800924358077255,0.03547408952713003,0.028320509659818395,0.06949700805069023,0.06472128096543767,0.06506212949752932,0.031917194448648746
AttentionMIL,swav,0.07039946475982391,0.0652430891144477,0.06429466934204509,0.030172827637877615,0.12870727518280417,0.0593166435935697,0.10265431165694851,0.03383150586176322,0.12520115280150543,0.06085703838714584,0.13634154772757848,0.08145781342771748,0.05806109085082882,0.0248750897987057,0.07041826936126354,0.053599667232237115,0.0627737879753079,0.022717065608653095
AttentionMIL,swin,0.1424074546432439,0.06560470567530192,0.16840660305022256,0.025006264636936334,0.14015623667915586,0.042411010830137756,0.17662551164627127,0.043431304547947,0.06557258272170466,0.03633260364665519,0.1586059508323688,0.04822407700873246,0.2778421916007954,0.022148192632992305,0.17214320393921018,0.08474150054441708,0.07081514596939589,0.02335569936365568
AttentionMIL,vit,0.17944203773499107,0.07473779470846849,0.11066816778183121,0.019651973087659185,0.029570672304229596,0.041541516866021776,0.14689299821852642,0.03420142674025677,0.07414402866363563,0.03136800659407893,0.0073092994689941335,0.01259604528525802,0.1526177443504277,0.03169139353078493,0.17417648526551077,0.05751664558956715,0.08136328458786016,0.04491587578351095
MeanAveragePooling,bt,0.20724735260009483,0.09066866154028562,0.035422046661375876,0.0069284770234261965,0.020972772674560408,0.023927214116555465,0.08015845680236362,0.019227232712116685,0.07227200708389019,0.01751796469100432,0.025439602851866853,0.016855621531494766,0.05780709777831752,0.037244665798040026,0.17941845259993106,0.11375841103364624,0.06147435903549353,0.027820681421115608
MeanAveragePooling,ctranspath,0.06017287969589652,0.03320530379587554,0.03804912137985168,0.018305036254381693,0.10269200428009234,0.05094564437568475,0.03062139415740884,0.0218078867980921,0.0020434423446655113,0.0058904632194694126,0.09349780750274883,0.024919828096432797,0.02222909723281676,0.02183022850516031,0.1492911001237952,0.11460121895858574,0.0,0.0
MeanAveragePooling,dino_p16,0.0,0.0,0.03873444366454926,0.022498085803850366,0.08043226821898987,0.014821469527062219,0.0016604986190795386,0.004788931207253436,0.04775771341323877,0.025836298753159858,0.01430739831924417,0.016736988303559595,0.014597223148346121,0.018391358816618367,0.09204219780294774,0.0933643569378682,0.07763124704360663,0.012866400919430344
MeanAveragePooling,owkin,0.08630321025848063,0.06706032012050775,0.040447743415829164,0.025983905625189693,0.11324005945205372,0.030458933919394703,0.07136215829849298,0.03456871985308926,0.05675768098831233,0.029392309100862827,0.10962683629989774,0.04643173304442692,0.13317186628341568,0.029805183106410303,0.10572995148031786,0.10814049561741858,0.1073551177978532,0.019085873657644387
MeanAveragePooling,resnet50,0.23563828468322717,0.023229827068991103,0.0008132534027099319,0.0028997404980690383,0.022023840980529747,0.0360157817697855,0.2154464926719536,0.029804334793023073,0.0336434408187859,0.016535451341188393,0.13106897544860144,0.04785622861398927,0.09184186254501592,0.019898716206857858,0.2143337031397108,0.0864810082340336,0.07653198242187138,0.0068053703217721044
MeanAveragePooling,retccl,0.14707447290420858,0.014095121893101066,0.028111942291260954,0.008832339064042486,0.023337658481598047,0.0249273546539356,0.09955147171020248,0.041939915955992425,0.06410057983398477,0.018411693998428316,0.05731813383102431,0.016334704744064465,0.06266121660232608,0.023405170371566877,0.15114461384145927,0.11137992936261464,0.009429562091827897,0.003414776810781243
MeanAveragePooling,swav,0.027593100070952965,0.011790933359145175,0.029025705337523862,0.015807567269506488,0.12360041959763249,0.02470846868120642,0.05330661201477008,0.016428544892751362,0.10941486797332996,0.01662669978237296,0.13012017679215165,0.04336342404010942,0.042318866596220896,0.024876781463757956,0.13424579105704992,0.12869870984835885,0.06715824604034237,0.003047077666361283
MeanAveragePooling,swin,0.12519950866699592,0.027127185681718142,0.10001370477676105,0.03729058814972402,0.016655989723203556,0.014585874931980426,0.17321400308610002,0.024997534996319043,0.05167202196120983,0.02195401744704856,0.10266919803619208,0.022271385812239784,0.1286544660186817,0.04515438509549338,0.16632629833548254,0.12343074906981569,0.08420768976211583,0.007951048995760851
MeanAveragePooling,vit,0.17672873735427982,0.03639394855321844,0.07402857112883907,0.010716946422333843,0.06718148811340219,0.03351023177051259,0.14697945976258667,0.019844893834600908,0.08504342279433853,0.017066960499047927,0.015192932605743927,0.017993345434805227,0.06588791404724015,0.022780388776280237,0.15364638767569344,0.1061557083368487,0.06610077619552217,0.009665284235549439
Transformer,bt,0.1323373343467678,0.05292895849281957,0.04816059158707008,0.02594266196954359,0.01625963464736931,0.02293111721255855,0.022388416290283625,0.019764700788644923,0.09994799071235125,0.04192595589856737,0.06068744727172955,0.024975931569484477,0.020843537330626903,0.020753158005353847,0.07118922036011309,0.06911117663916465,0.039197649261472144,0.026620926985198398
Transformer,ctranspath,0.08380010385513283,0.06316685375852045,0.013037791713714744,0.016321929074261356,0.04433772579193014,0.03715792087479469,0.02315999841690158,0.019838420218844313,0.07969083362502948,0.07003060998080292,0.08288858004608061,0.0519998587864595,0.0256695942878712,0.029098442962152266,0.06953686039764717,0.06837617166039496,0.010366322299956952,0.017336239885825607
Transformer,dino_p16,0.024491610717773324,0.03636404926272345,0.06198126362228454,0.026514070762621533,0.05597436443328989,0.032005113490105465,0.00834516859054536,0.014051153378180437,0.017090852793886085,0.018245695227923475,0.020269966802980047,0.02840085817647175,0.028924341678620038,0.0216092568568611,0.05130534928161664,0.04409463060356061,0.03777322938155928,0.033803495644322154
Transformer,owkin,0.10880012769698805,0.07075051730157156,0.07557350681686457,0.047995924790175525,0.045388770256039844,0.03625965128485606,0.05268674468994018,0.03895872372889886,0.04691941314620712,0.03131274556127119,0.1155894167045574,0.05785623336870781,0.07555735874175916,0.029698245145310997,0.06641317169983525,0.052008367024507444,0.1290943281860255,0.03911048598389592
Transformer,resnet50,0.19297564287186444,0.06414165105026283,0.10178708122634991,0.071860963098072,0.10991578713416775,0.03859233273666256,0.19337607002257556,0.06506599950474003,0.041062273320388004,0.07142328523368165,0.29319851466217894,0.10723005286003547,0.14657308626175702,0.029374393996326405,0.19113957445938362,0.08091659148179202,0.13169280459595836,0.035662013391040186
Transformer,retccl,0.2157815005302419,0.10903378562511498,0.037366750701901104,0.04192777429949273,0.12080169335365502,0.04958676553896167,0.1526867446899484,0.025585283402857265,0.08720512562675725,0.058430765225349166,0.054488850317382945,0.04331750873551414,0.021516938686370668,0.019714753939465552,0.07076055567581177,0.06459816396541031,0.09413922002029547,0.03507597400075192
Transformer,swav,0.06837454099655327,0.04819344877072899,0.035653450950622376,0.0535404682332919,0.07988574520111284,0.033985859670724,0.061585932731625735,0.029931340582076534,0.10540511184615964,0.05390337469098589,0.16309099265136745,0.06615067357394554,0.05165161657333409,0.028201391909903784,0.07182579796630764,0.05877097860893098,0.0848710673065205,0.042891988086614576
Transformer,swin,0.1669783021926785,0.05315825493618929,0.11343756006622517,0.025500011816835057,0.08919506088257065,0.03756137547770162,0.18668878650665663,0.06879264597922449,0.09311942034645677,0.03349528809288898,0.13367922373809862,0.04780643911899595,0.21433401870728075,0.03569831589971466,0.15949123661834713,0.08083180241520109,0.08552216460419176,0.036302482899111636
Transformer,vit,0.20401285548210715,0.08004857472229768,0.1012730984535185,0.021977177927185954,0.13472810998917356,0.053939637573412705,0.17737809991836634,0.050256057693907445,0.1091193872062689,0.015601721882625333,0.059042919359586846,0.05352707646525278,0.17477172183991085,0.03541090428564944,0.20840234320481046,0.06855337974585321,0.07904186417770054,0.0319673329037376
